fileName,label
AMZN_30_1,1
AMZN_31_1,1
AMZN_32_1,1
AMZN_33_1,1
AMZN_34_0,0
AMZN_35_1,1
AMZN_36_0,0
AMZN_37_1,1
AMZN_38_0,0
AMZN_39_1,1
AMZN_40_0,0
AMZN_41_0,0
AMZN_42_1,1
AMZN_43_0,0
AMZN_44_1,1
AMZN_45_0,0
AMZN_46_0,0
AMZN_47_1,1
AMZN_48_0,0
AMZN_49_1,1
AMZN_50_1,1
AMZN_51_1,1
AMZN_52_1,1
AMZN_53_1,1
AMZN_54_0,0
AMZN_55_0,0
AMZN_56_1,1
AMZN_57_1,1
AMZN_58_1,1
AMZN_59_0,0
AMZN_60_1,1
AMZN_61_0,0
AMZN_62_1,1
AMZN_63_1,1
AMZN_64_0,0
AMZN_65_1,1
AMZN_66_0,0
AMZN_67_1,1
AMZN_68_0,0
AMZN_69_0,0
AMZN_70_1,1
AMZN_71_1,1
AMZN_72_0,0
AMZN_73_1,1
AMZN_74_0,0
AMZN_75_0,0
AMZN_76_1,1
AMZN_77_1,1
AMZN_78_1,1
AMZN_79_0,0
AMZN_80_1,1
AMZN_81_0,0
AMZN_82_0,0
AMZN_83_1,1
AMZN_84_0,0
AMZN_85_1,1
AMZN_86_1,1
AMZN_87_0,0
AMZN_88_0,0
AMZN_89_0,0
AMZN_90_1,1
AMZN_91_0,0
AMZN_92_0,0
AMZN_93_0,0
AMZN_94_0,0
AMZN_95_0,0
AMZN_96_0,0
AMZN_97_0,0
AMZN_98_0,0
AMZN_99_1,1
AMZN_100_1,1
AMZN_101_1,1
AMZN_102_1,1
AMZN_103_1,1
AMZN_104_0,0
AMZN_105_0,0
AMZN_106_1,1
AMZN_107_0,0
AMZN_108_1,1
AMZN_109_0,0
AMZN_110_1,1
AMZN_111_0,0
AMZN_112_1,1
AMZN_113_1,1
AMZN_114_0,0
AMZN_115_1,1
AMZN_116_1,1
AMZN_117_0,0
AMZN_118_0,0
AMZN_119_1,1
AMZN_120_0,0
AMZN_121_0,0
AMZN_122_1,1
AMZN_123_0,0
AMZN_124_0,0
AMZN_125_1,1
AMZN_126_1,1
AMZN_127_1,1
AMZN_128_1,1
AMZN_129_0,0
AMZN_130_0,0
AMZN_131_0,0
AMZN_132_1,1
AMZN_133_0,0
AMZN_134_1,1
AMZN_135_0,0
AMZN_136_1,1
AMZN_137_0,0
AMZN_138_0,0
AMZN_139_0,0
AMZN_140_0,0
AMZN_141_0,0
AMZN_142_1,1
AMZN_143_1,1
AMZN_144_1,1
AMZN_145_1,1
AMZN_146_0,0
AMZN_147_1,1
AMZN_148_1,1
AMZN_149_1,1
AMZN_150_1,1
AMZN_151_0,0
AMZN_152_1,1
AMZN_153_0,0
AMZN_154_0,0
AMZN_155_1,1
AMZN_156_1,1
AMZN_157_1,1
AMZN_158_0,0
AMZN_159_0,0
AMZN_160_1,1
AMZN_161_0,0
AMZN_162_1,1
AMZN_163_1,1
AMZN_164_1,1
AMZN_165_0,0
AMZN_166_0,0
AMZN_167_1,1
AMZN_168_0,0
AMZN_169_0,0
AMZN_170_1,1
AMZN_171_0,0
AMZN_172_1,1
AMZN_173_0,0
AMZN_174_1,1
AMZN_175_1,1
AMZN_176_1,1
AMZN_177_0,0
AMZN_178_0,0
AMZN_179_1,1
AMZN_180_1,1
AMZN_181_0,0
AMZN_182_0,0
AMZN_183_0,0
AMZN_184_1,1
AMZN_185_0,0
AMZN_186_1,1
AMZN_187_0,0
AMZN_188_1,1
AMZN_189_1,1
AMZN_190_0,0
AMZN_191_1,1
AMZN_192_0,0
AMZN_193_0,0
AMZN_194_1,1
AMZN_195_0,0
AMZN_196_0,0
AMZN_197_0,0
AMZN_198_0,0
AMZN_199_0,0
AMZN_200_1,1
AMZN_201_0,0
AMZN_202_0,0
AMZN_203_1,1
AMZN_204_1,1
AMZN_205_0,0
AMZN_206_0,0
AMZN_207_0,0
AMZN_208_0,0
AMZN_209_0,0
AMZN_210_1,1
AMZN_211_0,0
AMZN_212_1,1
AMZN_213_0,0
AMZN_214_1,1
AMZN_215_0,0
AMZN_216_1,1
AMZN_217_0,0
AMZN_218_0,0
AMZN_219_0,0
AMZN_220_0,0
AMZN_221_0,0
AMZN_222_1,1
AMZN_223_0,0
AMZN_224_1,1
AMZN_225_1,1
AMZN_226_1,1
AMZN_227_1,1
AMZN_228_1,1
AMZN_229_1,1
AMZN_230_0,0
AMZN_231_0,0
AMZN_232_1,1
AMZN_233_1,1
AMZN_234_0,0
AMZN_235_1,1
AMZN_236_0,0
AMZN_237_0,0
AMZN_238_1,1
AMZN_239_1,1
AMZN_240_1,1
AMZN_241_1,1
AMZN_242_1,1
AMZN_243_1,1
AMZN_244_0,0
AMZN_245_1,1
AMZN_246_1,1
AMZN_247_1,1
AMZN_248_0,0
AMZN_249_1,1
AMZN_250_0,0
AMZN_251_0,0
AMZN_252_0,0
AMZN_253_0,0
AMZN_254_1,1
AMZN_255_0,0
AMZN_256_0,0
AMZN_257_1,1
AMZN_258_0,0
AMZN_259_1,1
AMZN_260_0,0
AMZN_261_1,1
AMZN_262_1,1
AMZN_263_1,1
AMZN_264_0,0
AMZN_265_0,0
AMZN_266_0,0
AMZN_267_0,0
AMZN_268_0,0
AMZN_269_1,1
AMZN_270_1,1
AMZN_271_0,0
AMZN_272_0,0
AMZN_273_0,0
AMZN_274_0,0
AMZN_275_1,1
AMZN_276_0,0
AMZN_277_0,0
AMZN_278_1,1
AMZN_279_1,1
AMZN_280_0,0
AMZN_281_0,0
AMZN_282_1,1
AMZN_283_1,1
AMZN_284_0,0
AMZN_285_0,0
AMZN_286_1,1
AMZN_287_0,0
AMZN_288_1,1
AMZN_289_1,1
AMZN_290_0,0
AMZN_291_0,0
AMZN_292_1,1
AMZN_293_1,1
AMZN_294_0,0
AMZN_295_1,1
AMZN_296_0,0
AMZN_297_0,0
AMZN_298_1,1
AMZN_299_0,0
AMZN_300_1,1
AMZN_301_1,1
AMZN_302_1,1
AMZN_303_1,1
AMZN_304_1,1
AMZN_305_0,0
AMZN_306_1,1
AMZN_307_1,1
AMZN_308_1,1
AMZN_309_1,1
AMZN_310_0,0
AMZN_311_0,0
AMZN_312_0,0
AMZN_313_1,1
AMZN_314_1,1
AMZN_315_1,1
AMZN_316_1,1
AMZN_317_1,1
AMZN_318_0,0
AMZN_319_1,1
AMZN_320_0,0
AMZN_321_0,0
AMZN_322_1,1
AMZN_323_0,0
AMZN_324_0,0
AMZN_325_0,0
AMZN_326_1,1
AMZN_327_0,0
AMZN_328_1,1
AMZN_329_0,0
AMZN_330_0,0
AMZN_331_1,1
AMZN_332_1,1
AMZN_333_0,0
AMZN_334_1,1
AMZN_335_1,1
AMZN_336_0,0
AMZN_337_0,0
AMZN_338_1,1
AMZN_339_1,1
AMZN_340_0,0
AMZN_341_0,0
AMZN_342_0,0
AMZN_343_1,1
AMZN_344_0,0
AMZN_345_1,1
AMZN_346_1,1
AMZN_347_1,1
AMZN_348_1,1
AMZN_349_1,1
AMZN_350_0,0
AMZN_351_1,1
AMZN_352_1,1
AMZN_353_0,0
AMZN_354_1,1
AMZN_355_0,0
AMZN_356_1,1
AMZN_357_1,1
AMZN_358_1,1
AMZN_359_0,0
AMZN_360_0,0
AMZN_361_0,0
AMZN_362_0,0
AMZN_363_1,1
AMZN_364_0,0
AMZN_365_0,0
AMZN_366_0,0
AMZN_367_0,0
AMZN_368_0,0
AMZN_369_1,1
AMZN_370_0,0
AMZN_371_1,1
AMZN_372_0,0
AMZN_373_1,1
AMZN_374_1,1
AMZN_375_0,0
AMZN_376_1,1
AMZN_377_1,1
AMZN_378_1,1
AMZN_379_0,0
AMZN_380_0,0
AMZN_381_1,1
AMZN_382_0,0
AMZN_383_1,1
AMZN_384_1,1
AMZN_385_0,0
AMZN_386_0,0
AMZN_387_0,0
AMZN_388_0,0
AMZN_389_0,0
AMZN_390_1,1
AMZN_391_1,1
AMZN_392_0,0
AMZN_393_0,0
AMZN_394_1,1
AMZN_395_1,1
AMZN_396_1,1
AMZN_397_0,0
AMZN_398_0,0
AMZN_399_1,1
AMZN_400_0,0
AMZN_401_1,1
AMZN_402_1,1
AMZN_403_0,0
AMZN_404_0,0
AMZN_405_0,0
AMZN_406_1,1
AMZN_407_0,0
AMZN_408_0,0
AMZN_409_0,0
AMZN_410_0,0
AMZN_411_1,1
AMZN_412_0,0
AMZN_413_0,0
AMZN_414_0,0
AMZN_415_0,0
AMZN_416_0,0
AMZN_417_0,0
AMZN_418_0,0
AMZN_419_1,1
AMZN_420_1,1
AMZN_421_1,1
AMZN_422_1,1
AMZN_423_0,0
AMZN_424_1,1
AMZN_425_0,0
AMZN_426_1,1
AMZN_427_0,0
AMZN_428_0,0
AMZN_429_0,0
AMZN_430_0,0
AMZN_431_1,1
AMZN_432_0,0
AMZN_433_1,1
AMZN_434_0,0
AMZN_435_0,0
AMZN_436_1,1
AMZN_437_1,1
